race,total_doses
WHITE,7149969
BLACK OR AFRICAN AMERICAN,3690713
ASIAN,1081444
Other Race,1047318
AMERICAN INDIAN OR ALASKAN NATIVE,109659
NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,32472
