date,race,first_dose,second_dose,third_dose,fourth_dose,total_deaths,total_vax
2022-12-18,white,147,97,295,888,NA,1427
2022-12-19,african_american,191,133,380,1056,NA,1760
2022-12-19,asian,92,54,115,385,NA,646
2022-12-19,other,61,38,103,202,NA,404
2022-12-19,white,278,232,545,2036,NA,3091
2022-12-20,african_american,174,156,375,1003,5185,1708
2022-12-20,asian,78,52,97,358,487,585
2022-12-20,other,101,45,100,213,1228,459
2022-12-20,white,296,233,583,1881,8668,2993
2022-12-21,african_american,203,132,365,1021,5189,1721
2022-12-21,asian,89,51,106,423,487,669
2022-12-21,other,65,33,97,216,1228,411
2022-12-21,white,302,220,585,1795,8676,2902
2022-12-22,african_american,161,127,348,834,5192,1470
2022-12-22,asian,99,62,124,405,487,690
2022-12-22,other,58,41,115,180,1229,394
2022-12-22,white,220,161,471,1485,8683,2337
2022-12-23,african_american,115,96,303,663,5195,1177
2022-12-23,asian,94,53,142,453,487,742
2022-12-23,other,55,28,87,157,1229,327
2022-12-23,white,131,110,281,925,8687,1447
2022-12-24,african_american,18,21,59,120,NA,218
2022-12-24,asian,26,20,37,168,NA,251
2022-12-24,other,14,8,15,25,NA,62
2022-12-24,white,35,16,37,153,NA,241
2022-12-25,african_american,0,0,0,1,NA,1
2022-12-25,asian,0,0,0,4,NA,4
2022-12-25,white,5,0,0,4,NA,9
2022-12-26,african_american,56,43,64,236,NA,399
2022-12-26,asian,70,28,95,267,NA,460
2022-12-26,other,26,18,26,110,NA,180
2022-12-26,white,93,73,127,576,NA,869
2022-12-27,african_american,170,117,335,891,NA,1513
2022-12-27,asian,131,80,147,530,NA,888
2022-12-27,other,75,37,91,241,NA,444
2022-12-27,white,238,186,467,1441,NA,2332
2022-12-28,african_american,182,152,339,952,5204,1625
2022-12-28,asian,101,63,145,424,487,733
2022-12-28,other,65,45,103,206,1229,419
2022-12-28,white,241,182,505,1590,8706,2518
2022-12-29,african_american,200,154,416,1037,5205,1807
2022-12-29,asian,96,51,161,489,487,797
2022-12-29,other,71,40,98,229,1230,438
2022-12-29,white,256,185,484,1579,8717,2504
2022-12-30,african_american,165,120,336,873,5208,1494
2022-12-30,asian,89,60,153,459,487,761
2022-12-30,other,54,46,93,200,1231,393
2022-12-30,white,185,149,424,1423,8727,2181
2022-12-31,african_american,34,22,93,263,5210,412
